CstmrCD,Cstmr.Name,Mfg.No.,RE,ProductName,StartDate
TO067,"TOYOTA MOTOR THAILAND CO.,LTD.",251063373,LOWER STEEL PART NO.3,57413.4-KK010-P1/4,18/10/2025
TO067,"TOYOTA MOTOR THAILAND CO.,LTD.",251063399,LOWER STEEL PART NO.4,57413.4-KK010-P1/4,18/10/2025
TO067,"TOYOTA MOTOR THAILAND CO.,LTD.",251063400,LOWER STEEL PART NO.5,57413.4-KK010-P1/4,18/10/2025
TO067,"TOYOTA MOTOR THAILAND CO.,LTD.",251063404,LOWER STEEL PART NO.6,57413.4-KK010-P1/4,18/10/2025
TO067,"TOYOTA MOTOR THAILAND CO.,LTD.",251063405,LOWER STEEL PART NO.7,57413.4-KK010-P1/4,18/10/2025
TO067,"TOYOTA MOTOR THAILAND CO.,LTD.",251063406,LOWER STEEL PART NO.8,57413.4-KK010-P1/4,18/10/2025
TO067,"TOYOTA MOTOR THAILAND CO.,LTD.",251063421,LOWER STEEL PART NO.9,57413.4-KK010-P1/4,18/10/2025
TO067,"TOYOTA MOTOR THAILAND CO.,LTD.",251063436,LOWER STEEL PART NO.10,57413.4-KK010-P1/4,18/10/2025
TO067,"TOYOTA MOTOR THAILAND CO.,LTD.",251063437,LOWER STEEL PART NO.11,57413.4-KK010-P1/4,18/10/2025
TO067,"TOYOTA MOTOR THAILAND CO.,LTD.",251063439,LOWER STEEL PART NO.12,57413.4-KK010-P1/4,18/10/2025
TO067,"TOYOTA MOTOR THAILAND CO.,LTD.",251063454,LOWER STEEL PART NO.13,57413.4-KK010-P1/4,18/10/2025
TO067,"TOYOTA MOTOR THAILAND CO.,LTD.",251063470,LOWER STEEL PART NO.14,57413.4-KK010-P1/4,18/10/2025
YA004,"YAMADA SOMBOON CO.,LTD.",250958362,6-55519-000-0411-0413,"63C MV GATE A,B,C",15/09/2025
YA004,"YAMADA SOMBOON CO.,LTD.",251062446,6-55594-000-0003,5LJ LVB FIX CAVITY,10/10/2025
YA004,"YAMADA SOMBOON CO.,LTD.",251063257,6-55306-000-0040,5LJ SLIDE CORE-A,17/10/2025
YA004,"YAMADA SOMBOON CO.,LTD.",251063282,6-55514-000-0435,"INSERT #43,44",18/10/2025
YA004,"YAMADA SOMBOON CO.,LTD.",251063312,6-56629-000-0070,LAYOUT MOVE,18/10/2025
YA004,"YAMADA SOMBOON CO.,LTD.",251063120,6-55594-000-0003,5LJ LVB FIX CAVITY,17/10/2025
YA004,"YAMADA SOMBOON CO.,LTD.",251063253,6-55645-000-0003,"6MA COVER #13,14",17/10/2025
YA004,"YAMADA SOMBOON CO.,LTD.",251063254,6-55645-000-0004,"6MA COVER #13,14",17/10/2025
YA004,"YAMADA SOMBOON CO.,LTD.",251063255,6-55645-000-0005,MOVE CAVITY-II,17/10/2025
YA004,"YAMADA SOMBOON CO.,LTD.",251063256,6-55645-000-0006,MOVE CAVITY-I,17/10/2025
YA004,"YAMADA SOMBOON CO.,LTD.",251063518,6-55691-000-0026,41B BRG H/S #5-8,19/10/2025
YA004,"YAMADA SOMBOON CO.,LTD.",251063519,6-55691-000-0003,41B BRG H/S #5-8,19/10/2025
YA004,"YAMADA SOMBOON CO.,LTD.",251063520,6-55691-000-0004,41B BRG H/S #5-8,19/10/2025
YA004,"YAMADA SOMBOON CO.,LTD.",251063522,6-55691-000-0005,41B BRG H/S#5-8,19/10/2025
YA004,"YAMADA SOMBOON CO.,LTD.",251063538,6-55691-000-0006,41B BRG H/S #5-8,19/10/2025
YA004,"YAMADA SOMBOON CO.,LTD.",251063621,6-55691-000-0003,41B BRG H/S #5-8,19/10/2025
YA004,"YAMADA SOMBOON CO.,LTD.",251063662,6-55691-000-0004,41B BRG H/S #5-8,19/10/2025
YA004,"YAMADA SOMBOON CO.,LTD.",251063688,6-55691-000-0025,41B BRG SUPPORT #5-8,19/10/2025
YA004,"YAMADA SOMBOON CO.,LTD.",251063738,6-55691-000-0005,41B BRG H/S #5-8,19/10/2025
YA004,"YAMADA SOMBOON CO.,LTD.",251063762,6-55691-000-0006,41B BRG H/S #5-8,19/10/2025
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
