Mfg.No.,Part figure,process,set,ma
251064814,DIE PART (FG),T2,0,0
251064814,DIE PART (FG),6F,0,0
251064814,DIE PART (FG),M1,0,0
251064814,DIE PART (FG),H1,0,0
251064814,DIE PART (FG),GS,0,0
251064814,DIE PART (FG),M2,0,0
251064814,DIE PART (FG),LAP,0,0
251064814,DIE PART (FG),YA,0,0
251064814,DIE PART (FG),T3,0,0
251064814,DIE PART (FG),XX,0,0
251064573,DIE PART (FG),SZ,0,0
251064573,DIE PART (FG),T2,0,0
251064573,DIE PART (FG),6F,0,0
251064573,DIE PART (FG),GD,0,0
251064573,DIE PART (FG),M2,0,0
251064573,DIE PART (FG),GS,0,0
251064573,DIE PART (FG),T3,0,0
251064573,DIE PART (FG),XX,0,0
251064583,DIE PART (FG),SZ,0,0
251064583,DIE PART (FG),T2,0,0
251064583,DIE PART (FG),6F,0,0
251064583,DIE PART (FG),GD,0,0
251064583,DIE PART (FG),M2,0,0
251064583,DIE PART (FG),GS,0,0
251064583,DIE PART (FG),T3,0,0
251064583,DIE PART (FG),XX,0,0
251065282,MACHINE,SH,0,0
251065282,MACHINE,T2,0,0
251065282,MACHINE,6F,0,0
251065282,MACHINE,GD,0,0
251065282,MACHINE,M2,0,0
251065282,MACHINE,T3,0,0
251065282,MACHINE,XX,0,0
251065461,DIE PART (FG),SZ,0,0
251065461,DIE PART (FG),T2,0,0
251065461,DIE PART (FG),6F,0,0
251065461,DIE PART (FG),M1,0,0
251065461,DIE PART (FG),H1,0,0
251065461,DIE PART (FG),GS,0,0
251065461,DIE PART (FG),M2,0,0
251065461,DIE PART (FG),T3,0,0
251065461,DIE PART (FG),XX,0,0
251061676,DIE PART (FG),SZ,0,0
251061676,DIE PART (FG),T2,0,0
251061676,DIE PART (FG),L1,0,0
251061676,DIE PART (FG),M1,0,0
251061676,DIE PART (FG),H1,0,0
251061676,DIE PART (FG),GS,0,0
251061676,DIE PART (FG),L2,0,0
251061676,DIE PART (FG),T3,0,0
251061676,DIE PART (FG),XX,0,0
251063174,DIE PART(FG),SZ,0,0
251063174,DIE PART(FG),T2,0,0
251063174,DIE PART(FG),6F,0,0
251063174,DIE PART(FG),M1,0,0
251063174,DIE PART(FG),H1,0,0
251063174,DIE PART(FG),GS,0,0
251063174,DIE PART(FG),M2,0,0
251063174,DIE PART(FG),LAP,0,0
251063174,DIE PART(FG),YA,0,0
251063174,DIE PART(FG),T3,0,0
251063174,DIE PART(FG),XX,0,0
250750280,3RD PROCESS DIE ASSY,SZ,0,0
250750280,3RD PROCESS DIE ASSY,T2,0,0
250750280,3RD PROCESS DIE ASSY,L1,0,0
250750280,3RD PROCESS DIE ASSY,H1,0,0
250750280,3RD PROCESS DIE ASSY,GS,0,0
250750280,3RD PROCESS DIE ASSY,L2,0,0
250750280,3RD PROCESS DIE ASSY,PRS,0,0
250750280,3RD PROCESS DIE ASSY,L2,0,0
250750280,3RD PROCESS DIE ASSY,PRS,0,0
250750280,3RD PROCESS DIE ASSY,PRS,0,0
