PartsName,Material,SizeRemarks,PartsQuantity
,SKH51,20.04X8,1
,DC53,50X72,1
,DC53,44X122.8,1
,SKH51,31.82X8,1
JTCB-K-003-0007000,SKH51,30X70,3
JTCB-K-003-1009001(1),SKD11,30X70,2
CENTER PUNCH,YXM1,39.5X92.08,1
4 PROCESS DIE ASSY,DAC,136.9X200,1
4 PROCESS DIE ASSY,DAC,113.3X194.6,1
4 PROCESS DIE ASSY,DAC,137.3X163.5,1
4 PROCESS DIE ASSY,YXR33,64.11X105.61,1
4 PROCESS DIE ASSY,YXR33,83.63X119.55,1
3 PROCESS DIE ASSY,DAC,126.5X182,1
4 PEOCESS DIE ASSY,DAC,136.9X185,1
4 PROCESS PUNCH,QDH,98X229.02,3
,DAC,73X211.27,1
1ST PROCESS DIE ASSY,DAC,107.3X201.13,3
1ST PROCESS DIE ASSY,DAC,190X186.13,3
1ST PROCESS COUNTER PUNCH,DAC,69.4X475.9,1
,DAC,220X133.87,1
,DAC,250X30,1
3 PROCESS DIE ASSY,DAC,126.5X182,1
2ND PROCESS PUNCH,DAC,83X209.38,1
2ND PROCESS DIE ASSY,DAC,112.1X219.62,2
2ND PROCESS DIE ASSY,DAC,190X204.62,2
2ND PROCESS COUNTER PUNCH,DAC,69.4X429.6,1
2 PROCESS PRESSURE PLATE,DAC,220X115.38,1
2 PROCESS LUBRICATION BRACKET,DAC,250X30,1
4TH PROCESS DIE ASSY,DAC,67.04X109.9,1
4TH PROCESS DIE ASSY,DAC,160.2X175.8,1
,V30,30X121,2
,V30,30X121,2
,V30,30X124,1
4 PROCESS PUNCH,QDH,103X226.5,1
4 PROCESS PUNCH,YXR33,98X273.46,1
3RD PROCESS PUNCH,DAC,113X192.78,1
3ED PROCESS DIE ASSY,DAC,136.1X191.1,1
3RD PROCESS DIE ASSY,DAC,220X176.1,1
3RD PROCESS COUNTER PUNCH,DAC,69.4X428.5,1
3RD PROCESS PRESSURE PLATE,DAC,220X143.9,1
3 PROCESS LUBRICATION BRACKET,DAC,310X45,1
4 PROCESS PUNCH,QDH,98X229.02,1
4TH PROCESS WOEK GUIDE,YXR3,150X59.6,1
SIZING PUNCH BASE,DAC,98X172.8,1
SIZING PUNCH BUSH,SLD,35X35,1
4 PROCESS LUBRICATION BRACKET,DAC,312.62X61.6,1
4TH PROCESS PUNCH,YXR33,113X289.83,4
4TH PROCESS SKO PLATE,DAC,238X57,1
4TH PROCESS DIE ASSY,DAC,136.9X209.8,4
4TH PROCESS DIE ASSY,DAC,220X194.8,4
4TH PROCESS COUNTER PUNCH,DAC,69.4X404.3,1
4TH PROCESS PRESSURE PLATE,DAC,220X80.6,1
SIZING PUNCH FIXING BOLT,SCM440,30X205,1
SIZING STRIPPER,SLD,215X149,1
SIZING DIE ASSY,"D60,SKD61,SNCM447",282X55,1
SIZING PRESSURE PLATE,SLD,170X35,1
STEM TRAY,SLD,120X54.7,1
,HAP40,30X126,1
4 PROCESS PUNCH,YXR33,88X275.22,1
4 PROCESS COUNTER PUNCH,DAC,69.4X414,1
,HAP40,30X126,1
,HAP40,30X126,1
,V30,30X118.5,1
,SUJ2,20X165,1
,S45C,98X20,1
FOR GAUGE 2,SS400,36X63X90,1
,SCM435,77X340,1
,SS400,26X57X63,1
,SUS304,95.25X45,1
3RD PROCESS COUNTER PUNCH,DAC,69.4X428.5,1
4 PROCESS LUBRICATION BRACKET,DAC,335X35,1
,DAC,100.8X108.4X123.4,1
,DAC,190.3X124.5,3
,DAC,190.3X117.1,3
,DAC,260X120.8,1
COMPANION FLANGE,DAC,260X40,2
,DAC-I,106X127X190,2
,DAC,106X127X190,2
,DAC-EX,150X56,1
,DAC-EX,150X56,1
,DAC-EX,165X90,1
,DAC-EX,165X90,1
T2-01-0-002,DAC-EX,150X56,1
,DAC-EX,150X56,1
T2-01-0-00,DAC-EX,150X56,1
,DAC-EX,150X56,1
,DAC-X,102X110X244,2
,DAC-X,102X110X244,5
,DAC-X,102X110X244,5
,DAC-X,102X110X244,5
,DAC-X,102X110X244,5
,SLD,165X24.87,1
,SLD,9.4X11.5X15.9,2
,DAC,55X148,2
,QD61,75X160,2
,DAC,152X212,1
,DAC,84X69,4
,DAC,81X29,5
,DAC,160.6X212,1
,DAC,55X141,1
,DAC,32X170,2
,DAC,46X25,5
,DAC,55X137,2
,SLD,180X35,1
,SLD,180X35,1
,YXR7,14X75.4,2
,DAC,6.6X50X100,45
,SLD,40X120X120,10
,SLD,30X150X150,2
,SLD,40X150X150,4
,SLD,80X150X150,3
,SLD,100X150X150,2
KESTN3580LFT//PO/11,YXR7,38.05X174,1
HCSTA5383LFT-T//PZ/11,YXR7,55.75X164,1
,DAC,249X290X655,1
,LBC3,162X214.5,1
,LBC3,162X234.5,1
,DAC,70X550X583,1
HCSTA5383LFT-T//PZ/11,YXR3,106X141,1
HCSTA5383//PO/21(B),YXR7,83.6X130,1
,QCM8,295X40,2
FB B35-223-A-2URL*KD*T,SLD,109X80,1
HCSTA5383//PO/21(B),YXR7,83.6X130,2
HCSTA4076-C//PO/21,YXR7,75.35X130,2
,DAC,32X500,10
,SLDMAGIC,21X37X38,2
,SLDMAGIC,194.46X210X270,1
,SLDMAGIC,191.38X210X265,1
,S45C,90X100X115,1
,S45C,65X160X170,1
,SLDMAGIC,35X100X126,1
,SUS304,2X24,20
,SLDMAGIC,97.15X110X155.04,2
,SLDMAGIC,85.95X125X156.36,1
,SLDMAGIC,81.74X95X190,1
,SLDMAGIC,60.4X72.75X135.25,2
,SLDMAGIC,21X37X38,1
,SLDMAGIC,55X90.2X113.65,1
,SLDMAGIC,55X90.18X113.67,1
,SLDMAGIC,21X37X38,1
,SLDMAGIC,55X90.2X113.65,1
,SLDMAGIC,55X90.18X113.67,1
,SLD-F,52.39X56.32X133.5,1
,SLD-F,57.36X91.93X259.7,1
,SLD-F,51.27X56.27X133.48,1
,SLD-F,79.05X79.97X102.25,1
,SLD-F,65.3X81.95X90.3,1
,SLD-F,51.87X73.7X157.91,1
,SLD-F,80.4X83.35X89.5,1
,SLD-F,51.92X81.35X168.13,1
,SLD-F,48.16X60.13X141.49,1
,SLD-F,48.22X111.46X196.68,1
,SLD-F,46.7X105.15X143.83,1
,SLD-F,46.7X143.67X195,1
,SLD-F,46.71X143.98X194.46,1
,SLD-F,46.68X105.11X143.75,1
,SLD-F,48.17X111.44X196.41,1
,SLD-F,48.16X59.78X141.61,1
,SLDMAGIC,35X100X126,1
,SLDMAGIC,55X90.2X113.65,1
,SLDMAGIC,55X90.18X113.67,1
,SLDMAGIC,55X90.2X113.65,1
,SLDMAGIC,55X90.18X113.67,1
,SLDMAGIC,21X37X38,1
,SLDMAGIC,21X37X38,1
,S45C,58.8X140X152.68,1
,S45C,58.6X140X152.68,1
,SLD-M,73.29X161.16X258.47,1
,S45C,40X145X310,4
,HMD5,58.33X122.41X158.37,1
,HMD5,58.33X122.41X158.37,1
,HMD5,60X107.71X132.35,1
,HMD5,60X107.71X132.35,1
,HMD5,56.51X131.39X170.78,1
,HMD5,56.51X131.39X170.78,1
,HMD5,65X93.34X120,1
,HMD5,60X81.45X142.54,1
,HMD5,48.6X105.31X127.4,1
,HMD5,48.6X105.31X127.4,1
,HMD5,81.96X93.32X190,1
,HMD5,81.96X93.32X190,1
,HMD5,127.63X150X300,1
,HMD5,127.63X150X300,1
,HMD5,110X155X159.8,1
,HMD5,110X166.26X225,1
,HMD5,110X147.66X225,1
,HMD5,63.53X134.56X221.62,1
,HMD5,63.53X134.57X221.62,1
,HMD5,65X94.51X198.46,1
,HMD5,65X94.51X198.46,1
,HMD5,81.86X154.34X213.05,1
,HMD5,81.86X154.34X213.05,1
,SLD,92X211.8,1
,S50C,15X26.5X39.5,1
,S50C,15X26X60,1
,SLD,15X26.3X150,1
,SLD,15X26.3X200,2
,S50C,22.7X39.6X150,2
,S50C,25.7X41.4X200,2
,S50C,20.3X41.4X200,2
,S50C,25.5X26.7X69,1
,S50C,27.9X28.5X79,2
,A5083,95X100X120,2
,S50C,16X26.7X69,1
,S50C,16X27.9X79,2
,SLD,7X16X69,6
,SLD,30X101.2,1
,A5025,15.5X100X150,1
,A5025,17.2X120X200,1
,SLD,15X100X450,2
,SLD,15.4X37.5X430,2
,SLD,17.1X37.5X430,2
,A5052,48X120X200,1
,SKD61/HAP40,15X35.1X47,1
,SLD,15X35.8X47,1
,A7075,30X100.4X150.4,2
,A7075,45X120.4X200.4,4
,SLD,15X25X150,1
,SLD,15X25X200,2
,S50C,22.7X38X150,2
,S50C,25.7X39.4X200,2
,S50C,20.3X39.4X200,2
,S50C,25.5X34X69,1
,S50C,28.5X36X69,2
,S50C,21.5X34X69,1
,S50C,24.5X36X69,2
